task_id,candidate_id,method,product_id,audience_segment,headline,body,cta,visual_prompt,model_calls,latency_ms,axis_strategy,relevance,clarity,aesthetic,audience_fit,brand_safety,factuality_penalty,diversity,predicted_engagement,reward,axis_emotional_style,axis_appeal_type,axis_layout,axis_color_direction,axis_cta_type,axis_caption_length,axis_pain_point,axis_generated_image_path
T0002,e7261aa92032,Ours_without_audience_modeling,P001_01,general_consumers,Portable Espresso Maker Lite,"Compact, rechargeable, travel-friendly, quick extraction, fast charging.",Shop now,"A sleek, portable espresso maker on a countertop with a travel mug next to it.",8,10820,,1.0,0.92,0.8,0.35,1.0,0.0,0.6667,0.8704,0.8078,aspirational,productivity,minimal poster,high contrast,Shop now,detailed,unclear product value,
T0003,b5f76f2ce9f8,B0_Template,P001_01,family_users,Portable Espresso Maker Lite for everyday use,Discover a consumer electronics option with compact.,Learn more,Clean product photo of Portable Espresso Maker Lite on a simple background,0,1,fixed_template,0.48,0.92,0.55,0.4583,1.0,0.0,1.0,0.6432,0.6764,,,,,,,,
T0003,7bc485b6698d,B1_SingleShot_API,P001_01,family_users,Compact & Rechargeable Espresso for Busy Families,"Portable Espresso Maker Lite is perfect for travel and quick coffee. Compact, safe, and easy to use.",Shop Now,Compare features of our portable espresso makers with bold accents.,4,3047,,0.87,0.92,0.67,0.5667,0.78,0.04,0.7185,0.782,0.7263,practical,value,comparison layout,bold accent,Shop now,medium,safety concerns,
T0003,caf553581861,B2_OpenSource_Only,P001_01,family_users,Compact & Rechargeable Espresso for Anytime,"Travel-friendly, quick extraction, fast charging - perfect for family adventures.",Shop Now,Compare sizes of different espresso makers,3,2537,,1.0,0.92,0.77,0.5667,0.78,0.04,0.7185,0.8378,0.7752,warm,value,comparison layout,bold accent,Shop now,medium,safety concerns,
T0003,346c04756e4d,B3_PromptEngineered_AI,P001_01,family_users,Compact & Rechargeable Espresso for Any Adventure,"Experience premium espresso in minutes, perfect for family adventures.",Try Today,"Portable Espresso Maker Lite - Quick, Compact, and Travel-Friendly",4,2831,,0.87,0.92,0.65,0.4583,0.78,0.04,0.9556,0.7446,0.7191,premium,identity,product-centered,high contrast,Try today,detailed,limited time,
T0003,34b8521665fd,Ours_EAI_CO,P001_01,family_users,Compact & Rechargeable Espresso for Family,"Travel-friendly, quick extraction, fast charging for your family's coffee moments.",Shop Now,A warm neutral kitchen with a portable espresso maker on a countertop next to a family enjoying coffee together,8,10774,,1.0,0.92,0.8,0.4583,1.0,0.0,0.9333,0.8334,0.8405,premium,family benefit,lifestyle scene,warm neutral,Shop now,detailed,limited time,
T0003,0d8520aae050,Ours_without_diversity,P001_01,family_users,Portable Espresso Maker Lite,"Compact, rechargeable, travel-friendly, quick extraction, fast charging.",Shop now,"Enjoy your espresso anytime, anywhere.",8,9824,,1.0,0.92,0.67,0.4583,1.0,0.0,0.0,0.8548,0.7511,practical,productivity,comparison layout,bold accent,Shop now,short,safety concerns,
T0003,37380a0f48c7,Ours_without_factual_penalty,P001_01,family_users,Portable Espresso Maker Lite,"Compact, rechargeable, travel-friendly. Quick extraction, fast charging.",Try today,"Experience the perfect cup of espresso anytime, anywhere.",8,10213,,1.0,0.92,0.8,0.4583,0.78,0.0,0.8571,0.8614,0.8169,warm,value,minimal poster,warm neutral,Try today,detailed,safety concerns,
T0003,974b1653a8ef,Ours_without_iterative_loop,P001_01,family_users,Compact & Rechargeable Espresso for Anytime,"Travel-friendly, quick extraction, fast charging - perfect for families.",Try Today,"A sleek, portable espresso maker on a countertop with a travel mug.",4,5879,,1.0,0.92,0.8,0.4583,0.78,0.04,0.8571,0.8114,0.7689,premium,identity,minimal poster,high contrast,Try today,medium,limited time,
T0003,e7261aa92032,Ours_without_audience_modeling,P001_01,general_consumers,Portable Espresso Maker Lite,"Compact, rechargeable, travel-friendly, quick extraction, fast charging.",Shop now,"A sleek, portable espresso maker on a countertop with a travel mug next to it.",8,10647,,1.0,0.92,0.8,0.35,1.0,0.0,0.6667,0.8704,0.8078,aspirational,productivity,minimal poster,high contrast,Shop now,detailed,unclear product value,
T0004,24266ae73d27,B0_Template,P001_01,price_sensitive_consumers,Portable Espresso Maker Lite for everyday use,Discover a consumer electronics option with compact.,Learn more,Clean product photo of Portable Espresso Maker Lite on a simple background,0,1,fixed_template,0.48,0.92,0.55,0.35,1.0,0.0,1.0,0.6302,0.657,,,,,,,,
T0004,27d73e79ccc1,B1_SingleShot_API,P001_01,price_sensitive_consumers,Compact & Rechargeable Espresso Anytime,"Portable, quick, and perfect for travel. Save on coffee costs.",Shop Now,Explore our portable espresso maker with high-contrast design.,4,2683,,0.87,0.92,0.65,0.35,0.78,0.04,0.9556,0.7316,0.6997,aspirational,convenience,product-centered,high contrast,Shop now,short,budget pressure,
T0004,465b86d7e881,B2_OpenSource_Only,P001_01,price_sensitive_consumers,Compact & Rechargeable Espresso Maker,"Travel-friendly, quick extraction, fast charging - perfect for busy families.",Compare options,Explore portable espresso makers with different features and prices.,3,2748,,1.0,0.92,0.65,0.35,0.78,0.04,0.9009,0.7654,0.7267,warm,family benefit,comparison layout,warm neutral,Compare options,detailed,risk avoidance,
T0004,50aa46f26449,B3_PromptEngineered_AI,P001_01,price_sensitive_consumers,Portable Espresso Maker Lite,"Compact, rechargeable, travel-friendly. Quick extraction, fast charging.",Learn more,Compare features with other espresso makers,4,2480,,1.0,0.92,0.77,0.35,1.0,0.0,0.9009,0.8138,0.8133,premium,identity,comparison layout,bold accent,Learn more,detailed,comparison shopping,
T0004,decb5fb3877b,Ours_EAI_CO,P001_01,price_sensitive_consumers,Portable Espresso Maker Lite,"Compact, rechargeable, travel-friendly, quick extraction, fast charging - perfect for budget-conscious coffee lovers.",Shop now,Compare features with other espresso makers,8,11846,,1.0,0.92,0.77,0.4583,0.78,0.04,0.6667,0.8348,0.7532,premium,family benefit,comparison layout,bold accent,Shop now,short,budget pressure,
T0004,b2500ea30d7f,Ours_without_diversity,P001_01,price_sensitive_consumers,Portable Espresso Maker Lite,"Compact, rechargeable, travel-friendly. Quick extraction, fast charging.",Shop now,Compare sizes of different espresso makers on a countertop,8,10858,,1.0,0.92,0.7,0.35,1.0,0.0,0.0,0.8284,0.7337,playful,family benefit,minimal poster,warm neutral,Shop now,detailed,comparison shopping,
T0004,20440705b92c,Ours_without_factual_penalty,P001_01,price_sensitive_consumers,Portable Espresso Maker Lite,"Compact, rechargeable, travel-friendly. Quick extraction, fast charging.",Learn more,Premium espresso on the go,8,10786,,1.0,0.92,0.8,0.35,1.0,0.0,0.7692,0.8204,0.808,premium,identity,lifestyle scene,high contrast,Learn more,short,risk avoidance,
T0004,2b86209fd87b,Ours_without_iterative_loop,P001_01,price_sensitive_consumers,Portable Espresso Maker Lite,"Compact, rechargeable, travel-friendly. Quick extraction, fast charging.",Shop now,Compare features with other espresso makers,4,5148,,1.0,0.92,0.7,0.35,1.0,0.0,0.6667,0.8484,0.7903,practical,value,minimal poster,high contrast,Shop now,short,comparison shopping,
T0004,e7261aa92032,Ours_without_audience_modeling,P001_01,general_consumers,Portable Espresso Maker Lite,"Compact, rechargeable, travel-friendly, quick extraction, fast charging.",Shop now,"A sleek, portable espresso maker on a countertop with a travel mug next to it.",8,10649,,1.0,0.92,0.8,0.35,1.0,0.0,0.6667,0.8704,0.8078,aspirational,productivity,minimal poster,high contrast,Shop now,detailed,unclear product value,
T0005,068f31f4ecbd,B0_Template,P001_02,students,Portable Espresso Maker Plus for everyday use,Discover a consumer electronics option with compact.,Learn more,Clean product photo of Portable Espresso Maker Plus on a simple background,0,1,fixed_template,0.48,0.92,0.55,0.35,1.0,0.0,1.0,0.6302,0.657,,,,,,,,
T0005,42f475e34383,B1_SingleShot_API,P001_02,students,Portable Espresso Maker Plus,"Compact, rechargeable, travel-friendly, quick extraction, travel case included.",Compare options,"Elevate your coffee game with a sleek, budget-friendly espresso maker.",4,2722,,1.0,0.92,0.92,0.5667,1.0,0.0,0.9302,0.8928,0.8839,warm,value,minimal poster,clean bright,Compare options,short,limited budget,
T0005,df574fb80ab7,B2_OpenSource_Only,P001_02,students,Portable Espresso for Busy Students,"Compact, rechargeable, quick extraction - perfect for busy schedules.",Try Today,Enjoy your favorite coffee on-the-go with our portable espresso maker.,3,2566,,0.74,0.92,0.65,0.4583,0.78,0.04,0.8009,0.7108,0.6753,premium,convenience,product-centered,high contrast,Try today,medium,limited budget,
T0005,63cd09f61ef6,B3_PromptEngineered_AI,P001_02,students,Compact Espresso Anywhere,Perfect for busy students on-the-go.,Shop Now,Portable espresso maker in travel case,4,2214,,0.74,0.78,0.55,0.4583,0.78,0.04,0.8263,0.658,0.6325,playful,convenience,product-centered,high contrast,Shop now,medium,busy schedule,
T0005,eb9dcaba7c1f,Ours_EAI_CO,P001_02,students,Portable Espresso for Students,"Compact, rechargeable, quick & travel-friendly.",Try today,Student enjoying espresso on campus,8,9074,,1.0,0.78,0.7,0.35,1.0,0.0,0.6667,0.7976,0.7597,practical,convenience,minimal poster,high contrast,Try today,short,limited budget,
T0005,c6330f0b3ef5,Ours_without_diversity,P001_02,students,Compact & Rechargeable Espresso for Students,"Portable Espresso Maker Plus - Quick, travel-friendly, budget-friendly.",Try Today,"Enjoy your espresso on-the-go with our compact, rechargeable maker.",8,9805,,1.0,0.92,0.55,0.5667,1.0,0.0,0.0,0.8114,0.7447,playful,productivity,product-centered,high contrast,Try today,detailed,limited budget,
T0005,b54cb0c03031,Ours_without_factual_penalty,P001_02,students,Portable Espresso Maker Plus,"Compact, rechargeable, travel-friendly. Quick extraction, travel case included.",Shop now,Elevate your coffee game with the ultimate portable espresso maker.,8,10240,,1.0,0.92,0.92,0.35,0.78,0.0,0.6667,0.8748,0.8033,warm,productivity,minimal poster,clean bright,Shop now,short,limited budget,
T0005,419c2b357911,Ours_without_iterative_loop,P001_02,students,Compact Espresso for Busy Students,"Portable, rechargeable, quick & travel-friendly.",Try Today,A student sipping espresso from a portable device in a busy library.,4,4912,,1.0,0.78,0.8,0.4583,1.0,0.0,0.7692,0.8226,0.8033,aspirational,productivity,minimal poster,high contrast,Try today,detailed,busy schedule,
T0005,e34555ef02e5,Ours_without_audience_modeling,P001_02,general_consumers,Portable Espresso Maker Plus,"Compact, rechargeable, and travel-friendly. Quick extraction with a travel case included.",Learn more,Compare features of our portable espresso maker,8,10536,,1.0,0.92,0.65,0.35,1.0,0.0,0.7692,0.8074,0.7849,premium,value,comparison layout,high contrast,Learn more,short,unclear product value,
T0006,7b362e7da9b4,B0_Template,P001_02,young_professionals,Portable Espresso Maker Plus for everyday use,Discover a consumer electronics option with compact.,Learn more,Clean product photo of Portable Espresso Maker Plus on a simple background,0,1,fixed_template,0.48,0.92,0.55,0.35,1.0,0.0,1.0,0.6302,0.657,,,,,,,,
T0006,12de993a2b4f,B1_SingleShot_API,P001_02,young_professionals,Compact & Rechargeable Espresso for Busy Professionals,"Portable Espresso Maker Plus makes quick, travel-friendly coffee. Perfect for commuting.",Shop Now,Warm neutral colors with a comparison layout highlighting portability and speed.,4,2876,,1.0,0.92,0.55,0.4583,0.78,0.04,0.812,0.7764,0.7247,practical,productivity,comparison layout,warm neutral,Shop now,medium,commuting,
T0006,ddfab13c55f0,B2_OpenSource_Only,P001_02,young_professionals,Compact Espresso Anywhere,"Quick, compact, rechargeable - perfect for busy commuting.",Try today,Compare features with other espresso makers.,3,2381,,0.74,0.78,0.55,0.4583,0.78,0.04,0.812,0.688,0.6362,playful,family benefit,comparison layout,warm neutral,Try today,short,commuting,
T0006,2359288a0738,B3_PromptEngineered_AI,P001_02,young_professionals,Compact & Rechargeable Espresso Anywhere,"Quick, travel-friendly espresso with a portable case.",Try Today,Young professional sipping espresso in a busy coffee shop,4,2677,,1.0,0.92,0.82,0.35,1.0,0.0,0.8462,0.8448,0.8209,playful,productivity,lifestyle scene,clean bright,Try today,medium,time pressure,
T0006,57a1e975375c,Ours_EAI_CO,P001_02,young_professionals,Portable Espresso for Busy Professionals,"Compact, rechargeable, quick extraction, travel-friendly with case.",Shop Now,"A young professional sipping espresso in a bustling city, surrounded by modern office furniture.",8,10811,,1.0,0.92,0.92,0.35,1.0,0.0,0.8571,0.8468,0.8361,premium,identity,lifestyle scene,bold accent,Shop now,detailed,commuting,
T0006,389fb59e40ae,Ours_without_diversity,P001_02,young_professionals,Portable Espresso for Busy Professionals,"Compact, rechargeable, perfect for travel.",Learn more,A young professional sipping espresso from a portable device while working at a café.,8,10245,,0.87,0.78,0.92,0.4583,0.78,0.04,0.0,0.7732,0.6626,premium,identity,minimal poster,clean bright,Learn more,short,work-life balance,
T0006,ef57512bb251,Ours_without_factual_penalty,P001_02,young_professionals,Portable Espresso Maker Plus,"Compact, rechargeable, travel-friendly, quick extraction. Perfect for busy professionals.",Learn more,Experience ultimate convenience with our portable espresso maker.,8,10224,,1.0,0.92,0.7,0.4583,0.78,0.0,0.8571,0.7894,0.7914,practical,family benefit,minimal poster,warm neutral,Learn more,detailed,time pressure,
T0006,847ec155b278,Ours_without_iterative_loop,P001_02,young_professionals,Compact Espresso for Busy Professionals,"Portable, rechargeable, quick extraction - perfect for travel.",Learn more,A young professional sipping espresso from a portable device while working at a café.,4,5533,,1.0,0.92,0.77,0.4583,0.78,0.04,0.8571,0.8048,0.7637,aspirational,identity,product-centered,clean bright,Learn more,detailed,work-life balance,
T0006,e34555ef02e5,Ours_without_audience_modeling,P001_02,general_consumers,Portable Espresso Maker Plus,"Compact, rechargeable, and travel-friendly. Quick extraction with a travel case included.",Learn more,Compare features of our portable espresso maker,8,10566,,1.0,0.92,0.65,0.35,1.0,0.0,0.7692,0.8074,0.7849,premium,value,comparison layout,high contrast,Learn more,short,unclear product value,
T0007,654c19c8c472,B0_Template,P001_02,family_users,Portable Espresso Maker Plus for everyday use,Discover a consumer electronics option with compact.,Learn more,Clean product photo of Portable Espresso Maker Plus on a simple background,0,1,fixed_template,0.48,0.92,0.55,0.4583,1.0,0.0,1.0,0.6432,0.6764,,,,,,,,
T0007,e31eee364b37,B1_SingleShot_API,P001_02,family_users,Compact & Rechargeable Espresso for Busy Families,"Travel-friendly, quick extraction, includes travel case. Perfect for busy families on-the-go.",Compare Options,Explore portable espresso makers with different features and sizes.,4,2853,,1.0,0.92,0.67,0.35,0.78,0.04,0.9302,0.7898,0.7358,practical,productivity,comparison layout,clean bright,Compare options,detailed,limited time,
T0007,e22c8e6c41f8,B2_OpenSource_Only,P001_02,family_users,Compact & Rechargeable Espresso for Family Adventures,"Quick, travel-friendly espresso with a safety-first design.",Learn More,Warm family enjoying espresso together,3,2348,,1.0,0.92,0.8,0.5667,1.0,0.0,0.9009,0.8464,0.8574,warm,family benefit,minimal poster,high contrast,Learn more,short,safety concerns,
T0007,6216ce57b3a3,B3_PromptEngineered_AI,P001_02,family_users,Compact & Rechargeable Espresso for Busy Families,"Travel-friendly, quick extraction, includes travel case.",Learn More,Portable Espresso Maker Plus - Perfect for Family Routines,4,2532,,1.0,0.92,0.92,0.4583,0.78,0.04,0.8755,0.8578,0.7946,premium,value,minimal poster,bold accent,Learn more,detailed,family routines,
T0007,00efe2428274,Ours_EAI_CO,P001_02,family_users,Portable Espresso for Any Adventure,"Compact, rechargeable, travel-friendly, quick extraction. Includes travel case.",Learn more,A happy family enjoying espresso on a camping trip,8,9974,,1.0,0.92,0.92,0.4583,1.0,0.0,0.7692,0.8598,0.8484,aspirational,identity,minimal poster,clean bright,Learn more,medium,safety concerns,
T0007,8bf272a1e6e1,Ours_without_diversity,P001_02,family_users,Compact & Rechargeable Espresso for Busy Families,"Quick, travel-friendly espresso with a stylish design.",Compare Options,A family enjoying espresso together in a cozy setting,8,10649,,1.0,0.92,0.55,0.4583,1.0,0.0,0.0,0.7784,0.7221,playful,convenience,product-centered,high contrast,Compare options,detailed,family routines,
T0007,cd8c55a356d2,Ours_without_factual_penalty,P001_02,family_users,Portable Espresso Maker Plus,"Compact, rechargeable, travel-friendly, quick extraction. Perfect for family adventures.",Learn more,"Enjoy rich espresso anytime, anywhere with our ultimate portable espresso maker.",8,10518,,1.0,0.92,0.92,0.5667,0.78,0.0,0.8571,0.8508,0.8494,warm,convenience,minimal poster,bold accent,Learn more,medium,safety concerns,
T0007,68c6c030db4d,Ours_without_iterative_loop,P001_02,family_users,Compact & Rechargeable Espresso for Any Adventure,Travel-friendly design with quick extraction. Includes travel case.,Shop Now,"A warm neutral portable espresso maker in a travel case, ready for an adventure",4,5378,,1.0,0.92,0.65,0.35,1.0,0.0,0.7692,0.7874,0.7817,premium,convenience,product-centered,warm neutral,Shop now,medium,safety concerns,
T0007,e34555ef02e5,Ours_without_audience_modeling,P001_02,general_consumers,Portable Espresso Maker Plus,"Compact, rechargeable, and travel-friendly. Quick extraction with a travel case included.",Learn more,Compare features of our portable espresso maker,8,10556,,1.0,0.92,0.65,0.35,1.0,0.0,0.7692,0.8074,0.7849,premium,value,comparison layout,high contrast,Learn more,short,unclear product value,
T0008,bc83bb32b9c3,B0_Template,P001_02,price_sensitive_consumers,Portable Espresso Maker Plus for everyday use,Discover a consumer electronics option with compact.,Learn more,Clean product photo of Portable Espresso Maker Plus on a simple background,0,1,fixed_template,0.48,0.92,0.55,0.35,1.0,0.0,1.0,0.6302,0.657,,,,,,,,
T0008,41b9403a7d02,B1_SingleShot_API,P001_02,price_sensitive_consumers,Compact & Rechargeable Espresso Anywhere,"Travel-friendly design, quick extraction, included travel case.",Learn More,"Warm neutral tones, minimal layout, premium feel",4,2474,,1.0,0.92,0.8,0.35,1.0,0.0,0.9009,0.8204,0.8185,premium,family benefit,minimal poster,warm neutral,Learn more,medium,budget pressure,
T0008,fa1c90b1a861,B2_OpenSource_Only,P001_02,price_sensitive_consumers,Portable Espresso Maker Plus,"Compact, rechargeable, and perfect for travel. Quick extraction, travel case included.",Try today,Experience the perfect cup anywhere with our bold and aspirational Portable Espresso Maker Plus.,3,3039,,1.0,0.92,0.77,0.35,0.78,0.04,0.9009,0.8218,0.7526,aspirational,family benefit,product-centered,bold accent,Try today,detailed,budget pressure,
T0008,ed0f74cf9303,B3_PromptEngineered_AI,P001_02,price_sensitive_consumers,Portable Espresso Maker Plus,"Compact, rechargeable, and travel-friendly for quick extraction.",Shop now,Bright clean design in a lifestyle setting,4,2427,,1.0,0.92,0.82,0.35,1.0,0.0,0.9556,0.8748,0.8344,practical,value,lifestyle scene,clean bright,Shop now,short,comparison shopping,
T0008,98d95d27af91,Ours_EAI_CO,P001_02,price_sensitive_consumers,Portable Espresso Maker Plus,"Compact, rechargeable, travel-friendly, quick extraction, travel case included.",Try today,Experience premium productivity on-the-go with our bold accent Portable Espresso Maker Plus.,8,10578,,1.0,0.92,0.77,0.35,1.0,0.0,0.9333,0.8638,0.8239,premium,productivity,product-centered,bold accent,Try today,medium,budget pressure,
T0008,9a5249cc8e38,Ours_without_diversity,P001_02,price_sensitive_consumers,Portable Espresso Maker Plus,"Compact, rechargeable, travel-friendly, quick extraction, travel case included.",Shop now,"Enjoy your perfect espresso anytime, anywhere.",8,10397,,1.0,0.92,0.92,0.35,0.78,0.0,0.0,0.8548,0.7468,premium,convenience,lifestyle scene,clean bright,Shop now,detailed,risk avoidance,
T0008,a1eff37f4011,Ours_without_factual_penalty,P001_02,price_sensitive_consumers,Portable Espresso Maker Plus,"Compact, rechargeable, travel-friendly, quick extraction. Perfect for busy lifestyles.",Try today,Experience ultimate convenience with our portable espresso maker.,8,10308,,1.0,0.92,0.92,0.35,0.78,0.0,0.8571,0.8748,0.8185,warm,productivity,minimal poster,bold accent,Try today,medium,comparison shopping,
T0008,c1595b0db198,Ours_without_iterative_loop,P001_02,price_sensitive_consumers,Compact & Rechargeable Espresso for Busy Livers,"Travel-friendly, quick extraction, includes travel case. Perfect for budget-conscious coffee lovers.",Shop Now,A stylish portable espresso maker on a countertop next to a travel mug and a laptop.,4,6123,,1.0,0.92,0.92,0.4583,0.78,0.04,0.8571,0.8578,0.7932,warm,productivity,lifestyle scene,bold accent,Shop now,detailed,budget pressure,
T0008,e34555ef02e5,Ours_without_audience_modeling,P001_02,general_consumers,Portable Espresso Maker Plus,"Compact, rechargeable, and travel-friendly. Quick extraction with a travel case included.",Learn more,Compare features of our portable espresso maker,8,10563,,1.0,0.92,0.65,0.35,1.0,0.0,0.7692,0.8074,0.7849,premium,value,comparison layout,high contrast,Learn more,short,unclear product value,
T0009,327124589044,B0_Template,P002_01,students,Ergonomic Study Lamp Lite for everyday use,Discover a home office option with eye-care lighting.,Learn more,Clean product photo of Ergonomic Study Lamp Lite on a simple background,0,1,fixed_template,0.61,0.92,0.55,0.4583,1.0,0.0,1.0,0.677,0.7079,,,,,,,,
T0009,189288a3c71e,B1_SingleShot_API,P002_01,students,Ergonomic Study Lamp Lite for Students,"Brighten your study space with eye-care lighting, adjustable arm, and low power use.",Compare Options,Desk setup with Ergonomic Study Lamp Lite in high contrast colors,4,2942,,1.0,0.92,0.8,0.5667,1.0,0.0,0.9302,0.8464,0.8597,premium,identity,lifestyle scene,high contrast,Compare options,detailed,small dorm space,
T0009,8a598c26bb1d,B2_OpenSource_Only,P002_01,students,Ergonomic Study Lamp Lite,Brighten your study with eye-care lighting. Adjustable & space-saving.,Learn more,Compare features of our ergonomic lamp,3,2999,,0.74,0.92,0.67,0.5667,1.0,0.0,0.9302,0.7702,0.7773,playful,productivity,comparison layout,bold accent,Learn more,short,limited budget,
